instance;algorithm;cp_solver;cp_strategy;uf_conflict_strategy;uf_conflicts_combinator;fzn_optimisation_level;threads;cores;cp_timeout_sec;exhaustive;hypervolume;datetime;cp_solutions;cp_total_nodes;time_cp_sec;time_fzn_sec;cp_solutions_list;uf_time_sec;uf_calls;uf_solutions;uf_conflicts;uf_solutions_list;uf_conflicts_backtrack;hypervolume_before_uf
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_or;or;1;16;8;180;False;12105.0;2023-04-26 11:28:52.268922;15;3273;43.68341000000001;106.76537999999996;[10.34304, 20.30235, 30.30933, 40.30565, 50.07446, 60.13422, 70.85231999999999, 80.86867, 90.96943999999999, 100.84373, 110.71224, 120.48856999999998, 130.44387, 140.21674, 150.44878999999997];44.19483;15;13;2;[True, True, False, True, True, True, True, False, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_max_link_charge;and;1;16;8;180;False;12135.0;2023-04-26 11:28:52.663930;15;3078;42.358019999999996;107.65934;[10.030249999999999, 20.09624, 30.221400000000003, 40.13931000000001, 50.24626000000001, 60.35306, 70.28792, 79.98418000000001, 89.77338000000002, 99.61833000000001, 109.42195000000001, 119.56309000000002, 130.17305, 140.08821999999998, 150.01736];44.144323;15;13;2;[True, True, True, True, True, False, True, True, True, True, True, True, True, False, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;not_assignment;or;1;16;8;180;False;12630.0;2023-04-26 11:28:52.579069;15;2900;43.48813;107.27975;[9.92265, 19.85714, 29.62251, 39.380160000000004, 49.32545999999999, 59.32687, 69.44697, 79.63087999999999, 90.69365, 100.74499, 110.72755, 120.34619, 130.24928, 140.67431, 150.76788];44.42913399999999;15;13;2;[True, True, True, True, True, True, False, True, True, True, True, True, True, False, True];;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_max_link_charge;or;1;16;8;180;False;10820.0;2023-04-26 11:28:52.651547;15;3343;45.948249999999994;107.38863999999998;[10.26587, 20.298080000000002, 30.37901, 40.473060000000004, 50.68379, 60.817859999999996, 71.17154, 81.24765, 91.57343, 101.9958, 112.07479000000001, 122.03734, 133.12949999999998, 143.43416, 153.33688999999998];43.749831;15;15;0;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_source_alloc;and;1;16;8;180;False;10015.0;2023-04-26 11:28:52.704984;15;3244;42.66733000000001;107.08876000000001;[9.94011, 19.95106, 30.07264, 40.26171, 50.36166, 60.56246, 70.86755000000001, 80.94405000000002, 90.90285000000002, 100.62545000000001, 110.68093, 120.44791000000001, 130.35488, 139.88242000000002, 149.75609000000003];44.481673;15;13;2;[True, True, True, False, True, True, True, True, False, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;not_assignment;and;1;16;8;180;False;11435.0;2023-04-26 11:28:52.713767;15;3108;43.22915999999999;107.42740999999998;[10.16575, 20.11466, 30.037599999999998, 40.14301, 50.1259, 60.09000999999999, 70.14707999999999, 80.18307999999999, 90.79269, 100.70319999999998, 110.83288999999999, 120.71236999999998, 130.90975999999998, 140.84381999999997, 150.65657];44.588813;15;15;0;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_one_link_charge;or;1;16;8;180;False;11285.0;2023-04-26 11:28:52.715557;15;2948;42.02348999999999;107.80369999999999;[10.040510000000001, 20.16534, 30.12928, 40.28926, 50.30798, 60.428920000000005, 70.72397, 80.83599, 90.76155, 100.60497, 110.47474999999999, 120.28282999999999, 130.04837999999998, 139.89721999999998, 149.82718999999997];44.546638;15;14;1;[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_target_alloc;or;1;16;8;180;False;13356.0;2023-04-26 11:28:52.266953;15;2937;43.48673999999999;106.92079;[10.148, 19.82278, 29.700309999999998, 39.719449999999995, 49.68944, 59.89861, 70.23759, 80.20533, 90.24141, 100.19669999999999, 110.145, 120.19353, 130.08704, 140.10305, 150.40752999999998];45.215361;15;14;1;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_target_alloc;and;1;16;8;180;False;12385.0;2023-04-26 11:28:52.744077;15;3132;40.01761;106.85432;[9.97373, 20.04692, 29.742649999999998, 39.36951, 49.13202, 59.185649999999995, 68.92265, 78.80587, 88.53684999999999, 98.17374, 107.87959000000001, 117.60405, 127.4143, 137.13652, 146.87193];44.891915999999995;15;15;0;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;decrease_hop_and;and;1;16;8;180;False;18900.0;2023-04-26 11:28:52.669197;15;3116;41.944900000000004;106.90178999999999;[9.94259, 19.9088, 29.9466, 39.92213, 49.95109, 59.90148000000001, 69.59567000000001, 79.60759, 89.47551, 99.21141, 108.92282999999999, 118.97973999999999, 129.17597, 138.87349999999998, 148.84669];45.651827999999995;15;13;2;[True, True, True, True, True, True, True, False, True, True, True, True, False, True, True];0;
